venue_id,venue_name,region,period_label,exam_date,weekday_ja,weekend_or_holiday,source_url,fetched_at
eisei-tohoku,東北安全衛生技術センター,東北,令和８年度（R8.10～R9.3）,2027-03-15,月,0,https://www.exam.or.jp/schedule/h_nittei502/,2026-06-28
eisei-kanto,関東安全衛生技術センター,関東,令和８年度（R8.10～R9.3）,2027-03-15,月,0,https://www.exam.or.jp/schedule/h_nittei502/,2026-06-28
eisei-chushi,中国四国安全衛生技術センター,中国・四国,令和８年度（R8.10～R9.3）,2027-03-17,水,0,https://www.exam.or.jp/schedule/h_nittei502/,2026-06-28
eisei-chubu,中部安全衛生技術センター,中部,令和８年度（R8.10～R9.3）,2027-03-17,水,0,https://www.exam.or.jp/schedule/h_nittei502/,2026-06-28
eisei-kyushu,九州安全衛生技術センター,九州,令和８年度（R8.10～R9.3）,2027-03-17,水,0,https://www.exam.or.jp/schedule/h_nittei502/,2026-06-28
eisei-hokkaido,北海道安全衛生技術センター,北海道,令和８年度（R8.10～R9.3）,2027-03-17,水,0,https://www.exam.or.jp/schedule/h_nittei502/,2026-06-28
eisei-tokyo,東京試験場,関東,令和８年度（R8.10～R9.3）,2027-03-17,水,0,https://www.exam.or.jp/schedule/h_nittei502/,2026-06-28
eisei-tohoku,東北安全衛生技術センター,東北,令和８年度（R8.10～R9.3）,2027-03-17,水,0,https://www.exam.or.jp/schedule/h_nittei502/,2026-06-28
eisei-kanto,関東安全衛生技術センター,関東,令和８年度（R8.10～R9.3）,2027-03-17,水,0,https://www.exam.or.jp/schedule/h_nittei502/,2026-06-28
eisei-osaka,大阪試験場,近畿,令和８年度（R8.10～R9.3）,2027-03-18,木,0,https://www.exam.or.jp/schedule/h_nittei502/,2026-06-28
eisei-tokyo,東京試験場,関東,令和８年度（R8.10～R9.3）,2027-03-18,木,0,https://www.exam.or.jp/schedule/h_nittei502/,2026-06-28
eisei-osaka,大阪試験場,近畿,令和８年度（R8.10～R9.3）,2027-03-24,水,0,https://www.exam.or.jp/schedule/h_nittei502/,2026-06-28
eisei-tokyo,東京試験場,関東,令和８年度（R8.10～R9.3）,2027-03-24,水,0,https://www.exam.or.jp/schedule/h_nittei502/,2026-06-28
eisei-kanto,関東安全衛生技術センター,関東,令和８年度（R8.10～R9.3）,2027-03-24,水,0,https://www.exam.or.jp/schedule/h_nittei502/,2026-06-28
eisei-chushi,中国四国安全衛生技術センター,中国・四国,令和８年度（R8.10～R9.3）,2027-03-25,木,0,https://www.exam.or.jp/schedule/h_nittei502/,2026-06-28
eisei-chubu,中部安全衛生技術センター,中部,令和８年度（R8.10～R9.3）,2027-03-25,木,0,https://www.exam.or.jp/schedule/h_nittei502/,2026-06-28
eisei-kyushu,九州安全衛生技術センター,九州,令和８年度（R8.10～R9.3）,2027-03-25,木,0,https://www.exam.or.jp/schedule/h_nittei502/,2026-06-28
eisei-osaka,大阪試験場,近畿,令和８年度（R8.10～R9.3）,2027-03-25,木,0,https://www.exam.or.jp/schedule/h_nittei502/,2026-06-28
eisei-tokyo,東京試験場,関東,令和８年度（R8.10～R9.3）,2027-03-25,木,0,https://www.exam.or.jp/schedule/h_nittei502/,2026-06-28
eisei-tokyo,東京試験場,関東,令和８年度（R8.10～R9.3）,2027-03-27,土,1,https://www.exam.or.jp/schedule/h_nittei502/,2026-06-28
eisei-kinki,近畿安全衛生技術センター,近畿,令和８年度（R8.10～R9.3）,2027-03-27,土,1,https://www.exam.or.jp/schedule/h_nittei502/,2026-06-28
